id_client;flag_coll;amt_credit;bki;age;is_educ;cl_segm;credit_type;fssp;cnt_closed_contract;is_cellphone
1000038;0;700000;0;69;1;3;POS;0;0;1
1000039;1;20000;96078;67;0;3;CC;0;1;1
1000040;1;20000;76126;59;0;3;CC;0;1;1
1000041;0;90000;59414;28;1;4;CC;0;0;1
1000042;0;800000;12759;52;0;1;POS;0;4;0
1000043;0;10000;81090;69;0;1;POS;0;0;0
1000044;1;200000;84096;21;0;2;POS;0;1;0
1000045;1;40000;45836;61;1;4;POS;0;0;1
1000046;0;125000;47043;42;1;2;POS;0;3;1
1000047;0;125000;5019;34;1;2;POS;0;3;1
1000048;1;225000;87555;58;0;2;POS;0;0;1
1000049;1;10000;7347;51;0;3;POS;0;6;1
1000050;1;50000;40461;28;0;4;POS;0;0;1
1000051;0;225000;0;42;1;2;POS;107807;1;1
1000052;1;225000;75900;31;0;4;CC;0;0;1
1000053;1;125000;71398;18;0;2;POS;0;0;1
1000054;0;100000;0;25;1;4;POS;0;2;1
1000055;1;75000;38407;31;0;2;POS;103725;2;1
1000056;1;100000;88320;45;0;3;CC;0;0;1
1000057;0;50000;36000;28;0;3;POS;0;1;1
1000058;1;75000;67746;67;0;3;CC;0;0;1
1000059;0;50000;2268;47;0;4;POS;0;8;1
1000060;0;10000;66017;23;1;2;CC;0;2;1
1000061;0;225000;95305;28;0;2;POS;113306;2;1
1000062;0;50000;43415;46;1;3;POS;0;0;1
1000063;1;125000;36229;35;1;2;CC;0;1;0
1000064;1;600000;80660;32;0;3;POS;0;0;0
1000065;1;700000;17565;58;0;4;POS;0;2;0
1000066;0;100000;95176;52;0;2;POS;0;1;0
1000067;1;300000;18976;36;0;3;CC;0;1;1
1000068;1;125000;99691;31;0;3;CC;0;0;1
1000069;1;300000;70291;59;0;3;POS;81871;0;1
1000070;1;250000;32645;24;0;1;CC;0;0;0
1000071;1;40000;52565;42;0;4;CC;0;1;1
1000072;0;50000;0;53;1;3;CC;151904;2;1
1000073;1;200000;14760;24;0;2;CC;0;0;0
1000074;0;20000;76138;33;0;1;POS;0;0;1
1000075;1;10000;19904;55;0;4;POS;0;0;1
1000076;0;1000000;62022;58;0;2;CC;0;4;1
1000077;0;125000;83624;57;0;2;POS;0;1;0
1000078;0;20000;7907;24;1;1;POS;0;0;1
1000079;0;90000;27825;63;1;1;CC;0;0;0
1000080;1;20000;83340;45;0;4;POS;0;0;1
1000081;0;250000;15393;42;0;3;POS;132475;0;1
1000082;1;40000;27987;37;0;3;POS;0;2;0
1000083;1;250000;2634;66;0;3;POS;19584;0;0
1000084;1;800000;0;47;1;2;POS;0;4;0
1000085;1;250000;76272;61;0;3;CC;94145;2;1
1000086;0;40000;85822;19;0;3;POS;2932;0;1
1000087;0;800000;71589;23;0;2;CC;0;2;0
1000088;1;225000;91582;26;0;3;POS;0;0;0
1000089;1;800000;27907;60;0;3;POS;0;0;1
1000090;0;275000;53487;39;0;2;POS;172760;1;1
1000091;0;400000;64573;21;0;1;POS;110812;0;1
1000092;0;75000;0;47;1;1;POS;0;1;1
1000093;0;125000;48602;25;0;3;POS;0;2;1
1000094;0;125000;95176;36;1;2;POS;0;1;0
1000095;0;40000;2384;53;0;3;POS;0;0;0
1000096;0;400000;51888;70;1;3;POS;0;0;1
1000097;1;40000;54655;45;1;1;CC;0;0;1
1000098;0;200000;67959;64;0;2;POS;0;0;1
1000099;0;600000;49069;32;0;2;POS;0;0;1
1000100;0;300000;0;23;1;3;POS;0;0;1
1000101;1;250000;53239;63;0;3;POS;0;0;1
1000102;0;250000;82753;33;0;3;POS;0;2;1
1000103;0;75000;35244;24;1;2;POS;0;2;1
1000104;1;50000;11755;66;0;2;CC;0;1;0
1000105;1;50000;19987;46;0;4;CC;0;1;0
1000106;0;100000;26945;60;0;3;CC;0;0;1
1000107;0;500000;38052;24;1;1;POS;0;0;0
1000108;0;800000;0;37;1;1;POS;0;0;1
1000109;0;225000;71746;29;0;2;POS;0;0;1
1000110;0;75000;46777;39;1;1;POS;73101;0;1
1000111;0;75000;99887;26;0;3;POS;0;0;0
1000112;1;10000;17183;63;1;3;CC;180940;1;1
1000113;0;125000;85907;50;0;2;POS;0;1;1
1000114;0;50000;49453;30;0;2;POS;163700;2;1
1000115;0;225000;67064;30;0;1;POS;0;2;0
1000116;0;250000;0;31;1;2;CC;0;3;1
1000117;0;100000;59585;23;0;1;POS;133314;2;1
1000118;0;400000;36672;31;1;2;CC;129712;2;0
1000119;0;40000;90747;26;0;2;POS;142356;5;0
1000120;1;90000;9229;30;0;3;POS;118389;3;1
1000121;1;10000;0;25;1;2;CC;0;0;0
1000122;0;50000;3271;20;0;1;POS;0;2;1
1000123;0;900000;0;31;1;2;POS;0;0;1
1000124;0;50000;83513;29;0;2;POS;0;0;0
1000125;0;200000;0;49;1;4;POS;0;0;1
1000126;1;90000;15524;48;0;4;POS;0;0;1
1000127;1;100000;19345;22;0;4;POS;0;1;1
1000128;1;900000;61718;49;0;3;CC;0;2;1
1000129;0;50000;24276;60;0;3;POS;6845;1;0
1000130;0;40000;10417;36;0;3;POS;0;0;1
1000131;1;50000;0;69;1;3;POS;0;0;1
1000132;0;20000;9213;25;0;2;POS;0;2;1
1000133;1;275000;1011;20;0;3;CC;0;2;0
1000134;0;75000;66264;66;0;2;POS;0;0;1
1000135;0;90000;70529;55;0;3;POS;194136;0;1
1000136;1;150000;24365;43;0;3;POS;96357;1;0
1000137;0;10000;64846;47;1;2;CC;0;0;1
1000138;1;75000;2941;25;0;2;CC;0;4;1
1000139;1;500000;29935;51;0;4;POS;0;0;0
1000140;0;225000;4378;60;0;1;POS;0;0;1
1000141;1;500000;33834;37;0;3;POS;125590;1;0
1000142;0;40000;30082;41;0;1;POS;0;4;1
1000143;0;50000;0;19;1;2;POS;0;0;1
1000144;0;100000;76169;30;0;2;CC;0;0;1
1000145;0;600000;0;33;1;3;CC;9897;1;1
1000146;0;125000;0;40;1;2;POS;0;10;0
1000147;0;250000;0;52;1;1;CC;192372;1;0
1000148;1;90000;0;32;1;3;CC;60588;4;1
1000149;1;125000;78367;65;1;3;CC;0;0;0
1000150;1;100000;0;66;1;2;CC;0;0;0
1000151;1;200000;0;30;1;4;POS;0;0;0
1000152;0;125000;82995;26;0;2;POS;0;2;1
1000153;0;400000;0;22;1;3;POS;0;0;1
1000154;0;125000;90051;66;0;3;POS;0;2;1
1000155;1;40000;38422;70;0;4;POS;0;0;1
1000156;1;90000;52363;52;0;3;POS;189946;0;0
1000157;0;125000;38091;31;0;3;POS;0;9;1
1000158;0;200000;72640;66;0;3;CC;0;7;1
1000159;1;225000;60959;19;1;3;POS;0;0;1
1000160;1;125000;12711;48;1;4;CC;0;1;1
1000161;0;500000;40887;68;0;4;POS;0;1;1
1000162;0;75000;67277;32;0;3;POS;0;3;1
1000163;1;125000;5323;27;0;4;CC;0;0;1
1000164;0;125000;0;41;1;2;POS;0;2;0
1000165;1;200000;0;66;1;3;POS;66610;6;0
1000166;1;200000;55074;29;0;1;POS;0;1;1
1000167;0;500000;98494;34;0;4;POS;0;4;0
1000168;0;200000;47489;28;0;4;POS;0;4;1
1000169;0;90000;88214;58;1;1;CC;0;0;1
1000170;0;100000;44142;33;1;2;CC;171016;1;1
1000171;0;125000;68961;67;0;3;POS;0;0;0
1000172;0;900000;63528;62;0;1;CC;0;7;1
1000173;0;300000;50669;36;0;2;POS;0;5;0
1000174;0;50000;3896;46;0;1;POS;64496;0;1
1000175;0;275000;26270;47;0;3;POS;0;2;1
1000176;1;100000;34342;62;1;3;CC;0;0;1
1000177;1;40000;12065;33;0;2;POS;0;0;1
1000178;1;20000;0;24;1;2;CC;0;0;0
1000179;1;250000;12861;18;0;3;CC;0;0;1
1000180;0;275000;18091;50;0;2;POS;0;0;0
1000181;0;90000;23376;54;0;4;POS;0;0;1
1000182;0;500000;0;25;1;3;CC;0;0;1
1000183;0;40000;24855;31;0;1;CC;0;0;1
1000184;1;200000;0;53;1;3;POS;0;0;1
1000185;1;125000;29477;48;1;4;CC;0;0;1
1000186;0;800000;0;55;1;1;CC;0;9;1
1000187;1;200000;45250;19;0;4;POS;0;1;0
1000188;0;10000;28614;29;0;2;POS;0;5;1
1000189;0;125000;13248;28;1;1;POS;0;1;0
1000190;0;175000;7342;59;1;3;POS;0;1;1
1000191;1;225000;87322;23;0;1;CC;0;0;1
1000192;0;175000;17741;31;1;3;CC;0;4;1
1000193;1;90000;0;48;1;3;CC;0;7;1
1000194;0;250000;28112;69;0;3;POS;105241;0;0
1000195;0;40000;20363;57;0;2;CC;0;1;0
1000196;1;10000;29356;24;1;4;CC;0;0;0
1000197;0;175000;0;50;1;3;CC;0;0;1
1000198;0;50000;58553;45;0;3;CC;161966;1;1
1000199;0;800000;0;19;1;2;POS;0;3;1
1000200;1;250000;44437;54;1;4;CC;0;0;1
1000201;1;90000;93563;55;1;4;POS;0;0;0
1000202;1;175000;28786;39;0;4;CC;0;1;1
1000203;0;20000;73815;59;0;2;POS;0;2;0
1000204;0;75000;74616;33;0;3;POS;0;0;1
1000205;0;40000;57830;36;0;2;POS;159388;0;1
1000206;1;40000;41995;41;0;4;CC;0;2;1
1000207;0;900000;60864;41;0;1;POS;0;10;1
1000208;1;900000;41993;62;0;4;POS;0;1;1
1000209;0;900000;27810;54;0;3;POS;0;5;1
1000210;0;150000;94715;61;1;3;POS;0;0;0
1000211;0;275000;41404;18;1;2;POS;0;0;0
1000212;0;90000;66689;43;0;3;CC;0;1;1
1000213;1;900000;79114;60;0;1;POS;0;0;1
1000214;0;250000;91302;59;0;2;POS;0;7;1
1000215;0;225000;16169;56;0;3;POS;174531;0;1
1000216;0;50000;91439;32;0;2;POS;11938;4;1
1000217;0;90000;0;58;1;2;CC;0;1;1
1000218;0;400000;4033;63;1;2;CC;0;2;0
1000219;0;75000;0;43;1;2;CC;0;0;1
1000220;0;100000;6767;30;0;1;CC;108671;2;0
1000221;0;900000;44087;48;1;2;CC;0;0;1
1000222;0;90000;67184;50;0;3;POS;0;1;0
1000223;0;40000;73483;42;1;3;POS;0;2;0
1000224;0;225000;47638;53;0;2;POS;0;0;1
1000225;0;125000;15341;40;0;2;POS;174163;4;1
1000226;1;125000;23605;28;0;2;CC;0;0;1
1000227;0;90000;50675;64;1;1;CC;0;0;1
1000228;0;225000;0;45;1;3;CC;0;2;1
1000229;1;500000;5565;47;1;2;POS;0;3;1
1000230;0;20000;28630;19;0;1;POS;0;0;1
1000231;0;400000;5084;64;1;2;POS;0;3;0
1000232;1;100000;16885;36;0;2;CC;0;0;1
1000233;0;175000;0;55;1;1;POS;19790;2;1
1000234;0;75000;83717;34;0;3;POS;0;0;1
1000235;0;40000;8383;52;0;2;CC;0;0;1
1000236;0;200000;0;51;1;4;POS;189022;0;1
1000237;0;500000;98930;25;0;2;POS;0;0;1
1000238;1;100000;20913;46;0;2;CC;0;0;1
1000239;1;1000000;0;19;1;4;CC;0;0;0
1000240;0;40000;0;29;1;3;POS;0;0;1
1000241;1;50000;49284;45;1;3;CC;0;0;1
1000242;0;10000;72184;19;0;1;POS;0;10;1
1000243;0;225000;0;22;1;3;POS;0;2;1
1000244;1;125000;89431;51;0;2;POS;0;1;1
1000245;1;175000;3887;30;0;2;CC;0;0;0
1000246;0;75000;72389;47;0;4;POS;0;1;1
1000247;1;125000;90420;48;0;2;POS;0;2;0
1000248;0;400000;0;65;1;2;POS;85339;0;1
1000249;0;50000;74274;33;0;1;POS;0;1;1
1000250;1;10000;104;61;0;4;CC;0;2;1
1000251;1;175000;35192;48;0;1;CC;0;0;0
1000252;1;50000;55436;29;0;2;CC;171276;0;0
1000253;0;200000;83097;30;0;3;POS;133759;0;1
1000254;0;250000;63923;49;0;3;POS;0;0;0
1000255;1;100000;0;40;1;2;CC;0;0;0
1000256;0;275000;0;55;1;2;POS;0;4;1
1000257;0;90000;61612;40;0;3;POS;7595;10;0
1000258;1;175000;0;62;1;3;CC;0;0;1
1000259;0;100000;5557;59;0;3;POS;0;0;1
1000260;0;300000;80179;51;1;1;CC;0;1;1
1000261;1;175000;54595;50;0;4;CC;19725;1;1
1000262;0;10000;77675;34;0;3;CC;0;2;1
1000263;0;175000;80869;46;0;3;POS;0;2;0
1000264;0;75000;21430;60;0;2;CC;19458;0;1
1000265;0;200000;65515;47;0;1;POS;0;0;1
1000266;0;50000;0;42;1;1;POS;0;3;0
1000267;0;100000;0;39;1;3;CC;0;0;1
1000268;0;90000;67585;68;1;2;POS;106401;2;0
1000269;0;10000;21370;44;0;2;POS;0;0;1
1000270;0;90000;64086;54;0;3;POS;0;0;1
1000271;0;50000;65287;69;0;2;POS;0;0;0
1000272;0;800000;18296;25;1;1;POS;0;1;1
1000273;1;275000;82872;22;0;4;POS;0;0;0
1000274;1;125000;20370;67;0;4;POS;0;1;1
1000275;1;100000;42331;64;0;1;POS;0;1;0
1000276;0;225000;93837;59;0;3;POS;0;1;0
1000277;1;125000;68472;44;0;2;POS;465;0;1
1000278;0;10000;87457;60;0;1;POS;0;1;1
1000279;1;50000;5082;20;0;3;CC;0;0;0
1000280;0;225000;41454;63;1;2;POS;0;1;1
1000281;0;250000;79935;40;0;3;POS;49610;0;0
1000282;0;275000;32487;39;1;4;CC;0;1;1
1000283;0;50000;32325;18;0;1;CC;0;2;0
1000284;1;150000;20996;18;0;3;CC;0;1;1
1000285;0;250000;62783;35;1;3;POS;36557;1;1
1000286;0;500000;10189;23;0;2;POS;0;0;1
1000287;1;200000;42146;70;0;4;CC;0;0;0
1000288;1;125000;56373;19;1;4;POS;0;1;1
1000289;1;40000;80000;65;0;3;CC;86787;1;1
1000290;0;100000;0;27;1;1;POS;0;0;1
1000291;1;40000;25813;24;0;3;POS;25033;0;1
1000292;0;20000;21426;27;0;1;POS;0;0;1
1000293;0;10000;97846;42;0;2;CC;0;2;1
1000294;1;225000;96234;38;0;2;CC;0;0;1
1000295;1;75000;40021;53;0;4;POS;0;0;0
1000296;0;900000;0;30;1;4;POS;190153;0;1
1000297;1;200000;56898;69;1;3;CC;0;0;0
1000298;0;125000;57771;18;0;2;POS;145952;0;1
1000299;0;40000;13199;46;0;2;POS;0;0;1
1000300;1;125000;99572;34;0;3;CC;0;1;0
1000301;0;125000;68309;47;0;2;POS;0;0;1
1000302;0;300000;70276;51;0;1;POS;0;0;0
1000303;0;20000;0;57;1;4;POS;0;9;1
1000304;1;90000;20756;34;0;3;POS;0;2;1
1000305;1;90000;55440;58;0;3;POS;0;0;1
1000306;0;175000;86482;36;0;3;POS;0;1;1
1000307;1;900000;74683;40;0;2;POS;84687;1;1
1000308;0;125000;84441;26;0;2;POS;0;2;0
1000309;0;20000;91393;53;0;4;CC;0;0;1
1000310;0;90000;0;67;1;1;POS;0;2;1
1000311;0;800000;0;18;1;2;POS;0;1;1
1000312;0;250000;69973;55;1;4;POS;0;0;0
1000313;0;90000;0;60;1;3;POS;0;0;0
1000314;0;50000;21993;37;0;2;CC;0;2;1
1000315;0;75000;20671;61;1;2;POS;0;4;1
1000316;0;225000;91403;33;1;3;POS;0;0;1
1000317;1;600000;51262;58;0;4;POS;0;0;0
1000318;1;50000;46944;25;0;4;POS;0;0;1
1000319;1;40000;81299;47;1;1;POS;0;2;0
1000320;1;200000;55769;70;0;2;CC;0;0;1
1000321;0;75000;85128;28;0;1;CC;49464;1;0
1000322;0;175000;32248;43;0;3;POS;0;0;1
1000323;0;50000;83668;18;1;3;POS;0;0;0
1000324;0;275000;1444;33;0;3;POS;0;0;1
1000325;0;75000;85359;47;0;1;POS;0;0;1
1000326;1;900000;18814;29;1;2;POS;0;2;1
1000327;0;125000;26185;37;0;3;POS;101984;2;1
1000328;0;90000;56103;61;1;3;POS;0;1;1
1000329;1;10000;78825;70;0;1;CC;0;0;1
1000330;0;40000;62861;25;0;2;POS;0;0;1
1000331;0;10000;98687;39;0;3;POS;0;2;1
1000332;1;20000;87928;68;0;4;POS;0;7;0
1000333;0;225000;93785;44;0;4;POS;112997;1;0
1000334;0;100000;30537;58;0;2;POS;0;0;1
1000335;1;275000;94553;65;0;2;CC;0;0;0
1000336;0;200000;58690;57;1;1;POS;0;4;1
1000337;0;600000;51950;67;0;4;CC;0;0;1
1000338;0;700000;72961;37;1;3;POS;0;0;0
1000339;1;175000;15435;52;0;2;POS;131678;3;1
1000340;0;90000;83387;37;0;3;POS;0;1;1
1000341;1;200000;53706;61;0;3;CC;0;4;0
1000342;1;225000;47925;24;0;4;CC;5184;0;1
1000343;0;20000;75799;22;0;2;POS;0;0;1
1000344;0;75000;90441;30;0;1;POS;0;0;1
1000345;0;50000;75570;19;0;2;POS;0;8;1
1000346;0;125000;58235;70;0;3;POS;0;0;1
1000347;0;50000;42604;61;0;1;POS;0;1;1
1000348;0;250000;6120;41;0;2;CC;0;2;1
1000349;0;600000;84453;49;0;1;POS;0;9;0
1000350;0;225000;68635;57;1;2;POS;118751;0;1
1000351;0;250000;70455;64;0;3;POS;141628;4;0
1000352;0;300000;86086;18;1;1;CC;0;2;0
1000353;0;300000;69726;37;1;3;CC;0;9;1
1000354;1;225000;90417;20;1;2;CC;0;0;1
1000355;0;300000;0;41;1;3;CC;0;2;1
1000356;0;600000;0;46;1;4;POS;0;2;0
1000357;0;10000;96647;54;0;1;POS;0;4;0
1000358;1;100000;9213;45;0;2;POS;0;0;1
1000359;1;100000;79971;67;0;4;POS;0;1;1
1000360;1;300000;96429;64;0;1;CC;68201;0;1
1000361;1;275000;31453;45;1;4;CC;0;0;0
1000362;1;150000;5991;31;0;4;POS;0;0;1
1000363;0;800000;84455;47;0;3;POS;0;3;1
1000364;0;100000;0;37;1;4;CC;0;0;1
1000365;0;600000;47336;68;1;3;POS;0;1;1
1000366;0;50000;74428;57;0;3;POS;0;1;1
1000367;0;125000;0;60;1;4;POS;0;10;0
1000368;1;75000;57285;56;0;1;POS;0;1;0
1000369;0;125000;59303;65;0;4;POS;0;10;0
1000370;0;10000;25173;37;1;2;CC;0;2;1
1000371;1;200000;0;42;1;3;POS;132442;2;0
1000372;1;20000;38245;58;0;2;POS;0;0;1
1000373;1;200000;67016;56;0;4;POS;0;2;0
1000374;0;200000;0;48;1;2;POS;0;0;0
1000375;0;200000;34360;25;0;1;POS;0;1;1
1000376;1;90000;98842;42;0;3;CC;0;0;1
1000377;1;900000;50091;69;0;1;CC;133379;0;0
1000378;0;50000;57291;62;1;2;POS;0;0;1
1000379;0;40000;58405;24;0;1;POS;0;0;0
1000380;1;50000;29831;49;0;4;POS;0;0;0
1000381;0;175000;0;22;1;3;POS;0;0;1
1000382;0;40000;22638;70;1;2;CC;0;0;1
1000383;0;100000;60011;68;1;2;POS;0;2;1
1000384;0;10000;67499;23;0;1;CC;167700;2;0
1000385;1;100000;0;26;1;4;CC;0;0;1
1000386;0;100000;52763;40;0;2;CC;0;1;1
1000387;0;500000;87492;23;0;3;POS;141016;0;1
1000388;1;40000;7836;41;0;4;POS;0;0;1
1000389;1;800000;7374;31;0;4;POS;0;1;1
1000390;0;125000;94707;65;0;2;CC;71415;3;1
1000391;1;275000;98036;58;1;3;CC;0;2;1
1000392;1;500000;35667;54;1;4;POS;0;2;1
1000393;1;50000;0;24;1;4;POS;0;0;1
1000394;1;175000;0;63;1;3;POS;174220;7;1
1000395;1;800000;67628;20;1;4;CC;0;4;0
1000396;0;125000;25464;53;0;3;POS;0;0;0
1000397;0;225000;32164;43;0;4;CC;0;8;1
1000398;1;50000;35497;27;0;1;POS;0;0;1
1000399;1;225000;19237;56;0;3;POS;0;0;0
1000400;0;600000;0;70;1;2;POS;0;0;0
1000401;0;125000;0;64;1;2;CC;0;0;1
1000402;0;90000;0;22;1;2;POS;0;1;1
1000403;1;100000;14616;52;0;1;POS;59758;0;0
1000404;0;125000;68717;55;0;3;POS;0;2;1
1000405;1;1000000;0;40;1;2;POS;0;0;1
1000406;1;700000;475;65;0;3;POS;0;3;0
1000407;0;300000;0;24;1;4;POS;0;4;1
1000408;0;250000;63914;54;0;3;POS;0;3;1
1000409;1;700000;0;21;1;3;CC;0;4;1
1000410;1;175000;40342;42;0;1;POS;86092;2;1
1000411;1;20000;25396;18;0;4;CC;0;2;1
1000412;1;200000;57339;35;0;2;POS;0;3;1
1000413;0;275000;0;24;1;4;POS;0;0;1
1000414;0;90000;12533;30;0;3;POS;0;0;1
1000415;1;10000;88506;52;0;4;CC;0;0;1
1000416;0;40000;40272;38;1;2;POS;0;1;1
1000417;0;175000;80535;68;0;2;POS;0;2;1
1000418;0;90000;2839;52;0;4;POS;137939;2;1
1000419;1;10000;8521;36;0;3;POS;102480;6;0
1000420;0;50000;17138;64;0;2;POS;0;1;1
1000421;0;100000;15687;65;0;3;POS;0;1;0
1000422;1;100000;57661;65;0;3;CC;0;0;0
1000423;0;40000;64045;41;1;3;POS;191103;2;1
1000424;0;100000;10862;54;0;3;CC;0;0;0
1000425;1;1000000;45711;28;0;2;POS;148558;0;1
1000426;0;250000;0;27;1;4;POS;0;0;1
1000427;1;125000;0;34;1;1;CC;0;0;1
1000428;1;250000;0;69;1;2;POS;0;2;1
1000429;1;900000;88327;66;0;3;POS;24338;0;0
1000430;1;600000;0;30;1;3;POS;0;1;0
1000431;0;600000;87931;59;0;1;CC;50621;0;1
1000432;0;600000;0;31;1;4;POS;74764;0;1
1000433;0;75000;89300;58;0;1;POS;0;2;0
1000434;0;800000;43763;29;0;2;POS;0;0;1
1000435;0;150000;69147;34;1;1;POS;183188;2;1
1000436;1;400000;26710;62;0;2;CC;0;4;1
1000437;0;100000;0;64;1;2;POS;0;0;1
1000438;1;275000;76744;23;0;3;CC;0;0;0
1000439;0;125000;6261;39;0;2;POS;146007;2;1
1000440;0;90000;77356;26;0;4;CC;0;8;1
1000441;1;50000;49237;25;0;2;POS;0;0;1
1000442;1;100000;79624;26;0;3;POS;0;1;0
1000443;0;40000;65577;50;0;2;POS;0;0;0
1000444;0;75000;62374;56;0;3;CC;153801;10;1
1000445;0;175000;0;48;1;4;CC;0;0;1
1000446;0;500000;52441;34;1;2;POS;0;0;0
1000447;1;200000;0;20;1;3;CC;98107;0;0
1000448;1;300000;5807;40;0;3;CC;189041;0;1
1000449;1;175000;36403;24;0;2;POS;0;1;0
1000450;1;50000;45798;36;0;3;POS;0;0;0
1000451;0;90000;99506;44;0;1;POS;0;1;0
1000452;0;125000;12058;70;0;2;POS;0;0;0
1000453;0;1000000;23871;48;0;3;POS;0;8;0
1000454;0;75000;5382;47;0;1;POS;0;0;1
1000455;1;175000;88795;38;0;3;POS;183996;7;1
1000456;0;50000;76098;41;1;4;POS;0;0;0
1000457;0;200000;87642;45;1;3;POS;43105;0;1
1000458;1;40000;0;48;1;4;CC;0;0;1
1000459;0;20000;0;51;1;3;POS;0;0;0
1000460;0;800000;83289;41;1;3;POS;0;0;1
1000461;1;125000;11218;67;0;3;POS;87322;2;0
1000462;0;100000;10247;70;0;3;POS;0;2;1
1000463;0;300000;0;47;1;1;POS;0;10;1
1000464;1;75000;37167;64;1;2;POS;0;0;0
1000465;0;100000;59392;58;1;1;POS;0;0;1
1000466;1;10000;8889;39;0;2;POS;0;0;1
1000467;0;90000;63614;69;0;3;CC;0;1;1
1000468;0;200000;0;61;1;1;POS;0;0;1
1000469;1;40000;9874;43;0;4;POS;0;1;1
1000470;1;10000;10108;59;0;4;POS;0;2;1
1000471;1;10000;92960;60;0;3;POS;90861;0;1
1000472;0;10000;48404;64;0;2;POS;0;2;1
1000473;0;175000;96552;47;0;2;CC;0;2;1
1000474;0;10000;66295;60;0;1;POS;1656;0;1
1000475;1;40000;75413;68;0;4;CC;0;1;0
1000476;1;75000;54628;18;0;4;POS;0;0;0
1000477;0;500000;82161;63;0;2;POS;0;0;0
1000478;0;150000;85961;37;1;1;POS;0;0;1
1000479;0;275000;73104;57;0;4;POS;0;3;1
1000480;1;700000;27879;33;0;3;POS;0;0;0
1000481;0;250000;0;64;1;2;POS;0;0;0
1000482;1;75000;58943;56;0;3;POS;0;0;0
1000483;0;50000;23171;31;0;2;POS;181951;2;0
1000484;0;125000;59049;34;0;2;POS;0;6;1
1000485;0;90000;21584;25;0;2;CC;0;8;1
1000486;0;20000;99423;52;0;2;POS;0;2;1
1000487;0;100000;44015;19;0;2;CC;0;0;1
1000488;1;300000;0;66;1;3;POS;191548;2;1
1000489;0;300000;18468;25;1;1;POS;137263;0;1
1000490;1;700000;0;23;1;2;POS;0;1;0
1000491;0;300000;19006;42;0;1;POS;114019;3;1
1000492;0;175000;14990;41;0;1;POS;179079;0;1
1000493;0;125000;73503;20;0;3;POS;0;0;1
1000494;0;200000;0;49;1;2;CC;0;0;1
1000495;1;40000;36079;36;0;4;POS;0;0;0
1000496;0;40000;64694;68;0;2;POS;0;0;1
1000497;0;600000;0;70;1;2;POS;0;0;0
1000498;1;10000;56757;20;0;4;POS;0;3;0
1000499;0;100000;0;26;1;3;POS;0;0;1
1000500;0;125000;0;68;1;3;CC;137075;1;1
1000501;0;300000;80490;58;0;2;POS;0;0;1
1000502;0;150000;84361;57;0;3;CC;27929;0;0
1000503;0;275000;60517;35;0;1;CC;140327;2;1
1000504;0;10000;31885;21;0;1;POS;0;2;1
1000505;0;20000;8154;28;1;1;POS;0;2;1
1000506;0;20000;49751;59;0;3;CC;0;1;0
1000507;0;100000;73099;66;0;2;POS;0;1;1
1000508;0;300000;0;26;1;3;CC;125919;8;0
1000509;0;1000000;0;40;1;3;POS;0;4;1
1000510;0;250000;0;64;1;4;POS;0;0;0
1000511;1;40000;86596;20;0;4;POS;0;5;1
1000512;1;125000;36330;26;0;3;POS;8846;7;1
1000513;1;100000;87815;43;0;3;POS;0;0;0
